"Date","Workout name","Exercise","Set","Weight","Reps","Distance","Duration","Measurement unit","Notes"
"2025-07-22 16:33:21","B","Rosca alternada com halter","2","7","7","","","kg",
"2025-07-22 16:33:21","B","Rosca alternada com halter","3","7","7","","","kg",
"2025-07-22 16:33:21","B","Rosca alternada com halter","4","7","7","","","kg",
"2025-07-23 15:51:55","C","Agachamento com barra","1","50","11","","","kg",
"2025-07-23 15:51:55","C","Agachamento com barra","2","50","11","","","kg",
"2025-07-23 15:51:55","C","Leg press","1","200","14","","","kg",
"2025-07-23 15:51:55","C","Leg press","2","200","14","","","kg",
"2025-07-23 15:51:55","C","Leg press","3","200","12","","","kg",
"2025-07-23 15:51:55","C","Leg press","4","200","12","","","kg",
"2025-07-23 15:51:55","C","Extensão de pernas","1","65","10","","","kg",
"2025-07-23 15:51:55","C","Extensão de pernas","2","55","11","","","kg",
"2025-07-23 15:51:55","C","Extensão de pernas","3","55","11","","","kg",
"2025-07-23 15:51:55","C","Extensão de pernas","4","55","10","","","kg",
"2025-07-23 15:51:55","C","Flexão de pernas deitado","1","45","11","","","kg",
"2025-07-23 15:51:55","C","Flexão de pernas deitado","2","45","9","","","kg",
"2025-07-23 15:51:55","C","Flexão de pernas deitado","3","45","9","","","kg",
"2025-07-23 15:51:55","C","Flexão de pernas deitado","4","45","8","","","kg",
"2025-07-23 15:51:55","C","Panturrilha no leg press","1","6","14","","","kg",
"2025-07-23 15:51:55","C","Panturrilha no leg press","2","6","14","","","kg",
"2025-07-23 15:51:55","C","Panturrilha no leg press","3","6","12","","","kg",
"2025-07-23 15:51:55","C","Panturrilha no leg press","4","6","12","","","kg",
"2025-07-24 16:26:38","A","Supino reto com halteres","1","14","13","","","kg",
"2025-07-24 16:26:38","A","Supino reto com halteres","2","14","13","","","kg",
"2025-07-24 16:26:38","A","Supino reto com halteres","3","14","11","","","kg",
"2025-07-24 16:26:38","A","Supino reto com halteres","4","14","10","","","kg",
"2025-07-24 16:26:38","A","Supino inclinado com halteres","1","10","13","","","kg",
"2025-07-24 16:26:38","A","Supino inclinado com halteres","2","10","13","","","kg",
"2025-07-24 16:26:38","A","Supino inclinado com halteres","3","10","12","","","kg",
"2025-07-24 16:26:38","A","Supino inclinado com halteres","4","10","12","","","kg",
"2025-07-24 16:26:38","A","Crucifixo na máquina","1","6","15","","","kg",
"2025-07-24 16:26:38","A","Crucifixo na máquina","2","6","16","","","kg",
"2025-07-24 16:26:38","A","Crucifixo na máquina","3","6","15","","","kg",
"2025-07-24 16:26:38","A","Crucifixo na máquina","4","6","13","","","kg",
"2025-07-24 16:26:38","A","Elevação frontal com halteres","1","5","12","","","kg",
"2025-07-24 16:26:38","A","Elevação frontal com halteres","2","5","11","","","kg",
"2025-07-24 16:26:38","A","Elevação frontal com halteres","3","5","11","","","kg",
"2025-07-24 16:26:38","A","Elevação frontal com halteres","4","5","10","","","kg",
"2025-07-24 16:26:38","A","Mergulho de tríceps assistido","1","45","6","","","kg",
"2025-07-24 16:26:38","A","Mergulho de tríceps assistido","2","45","5","","","kg",
"2025-07-24 16:26:38","A","Mergulho de tríceps assistido","3","45","4","","","kg",
"2025-07-24 16:26:38","A","Mergulho de tríceps assistido","4","45","4","","","kg",
"2025-07-24 16:26:38","A","Tríceps pulley na polia alta","1","5","13","","","kg",
"2025-07-24 16:26:38","A","Tríceps pulley na polia alta","2","5","11","","","kg",
"2025-07-24 16:26:38","A","Tríceps pulley na polia alta","3","5","10","","","kg",
"2025-07-24 16:26:38","A","Tríceps pulley na polia alta","4","5","10","","","kg",
"2025-07-25 14:50:57","B","Puxada aberta frontal","1","42","11","","","kg",
"2025-07-25 14:50:57","B","Puxada aberta frontal","2","42","10","","","kg",
"2025-07-25 14:50:57","B","Puxada aberta frontal","3","42","11","","","kg",
"2025-07-25 14:50:57","B","Puxada aberta frontal","4","42","10","","","kg",
"2025-07-25 14:50:57","B","Remada na polia sentado","1","37","13","","","kg",
"2025-07-25 14:50:57","B","Remada na polia sentado","2","37","13","","","kg",
"2025-07-25 14:50:57","B","Remada na polia sentado","3","37","11","","","kg",
"2025-07-25 14:50:57","B","Remada na polia sentado","4","37","11","","","kg",
"2025-07-25 14:50:57","B","Puxada pela frente neutra","1","42","13","","","kg",
"2025-07-25 14:50:57","B","Puxada pela frente neutra","2","42","13","","","kg",
"2025-07-25 14:50:57","B","Puxada pela frente neutra","3","42","11","","","kg",
"2025-07-25 14:50:57","B","Puxada pela frente neutra","4","42","11","","","kg",
"2025-07-25 14:50:57","B","Elevação lateral com halteres","1","6","13","","","kg",
"2025-07-25 14:50:57","B","Elevação lateral com halteres","2","6","12","","","kg",
"2025-07-25 14:50:57","B","Elevação lateral com halteres","3","6","11","","","kg",
"2025-07-25 14:50:57","B","Elevação lateral com halteres","4","6","11","","","kg",
"2025-07-25 14:50:57","B","Rosca direta com barra reta","1","15","13","","","kg",
"2025-07-25 14:50:57","B","Rosca direta com barra reta","2","15","12","","","kg",
"2025-07-25 14:50:57","B","Rosca direta com barra reta","3","15","9","","","kg",
"2025-07-25 14:50:57","B","Rosca direta com barra reta","4","15","7","","","kg",
"2025-07-25 14:50:57","B","Rosca alternada com halter","1","7","9","","","kg",
"2025-07-25 14:50:57","B","Rosca alternada com halter","2","7","7","","","kg",
"2025-07-25 14:50:57","B","Rosca alternada com halter","3","7","7","","","kg",
"2025-07-25 14:50:57","B","Rosca alternada com halter","4","7","7","","","kg",
"2025-07-28 13:42:49","A","Supino reto com halteres","1","14","14","","","kg",
"2025-07-28 13:42:49","A","Supino reto com halteres","2","16.5","14","","","kg",
"2025-07-28 13:42:49","A","Supino reto com halteres","3","16.5","13","","","kg",
"2025-07-28 13:42:49","A","Supino reto com halteres","4","16.5","10","","","kg",
